epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
157,980.05,1.23098,0.53644,0.00186,0.97139,0.89359,0.95291,0.66414,1.23497,0.41293,0.0025,0.0004556,0.0004556,0.0004556
158,985.881,1.22128,0.47603,0.00174,0.96053,0.89803,0.94797,0.66542,1.20509,0.40754,0.00243,0.0004457,0.0004457,0.0004457
159,991.678,1.14594,0.44323,0.00168,0.97148,0.89629,0.94522,0.6441,1.30188,0.4458,0.00264,0.0004358,0.0004358,0.0004358
160,997.489,1.23193,0.49354,0.00175,0.97167,0.90269,0.94613,0.65831,1.23399,0.41983,0.00249,0.0004259,0.0004259,0.0004259
161,1003.29,1.20069,0.47374,0.00167,0.97856,0.90074,0.94832,0.65326,1.25732,0.42142,0.00252,0.000416,0.000416,0.000416
162,1009.15,1.24199,0.48947,0.00178,0.98557,0.89886,0.94881,0.66091,1.22444,0.4323,0.00247,0.0004061,0.0004061,0.0004061
163,1016.37,1.26472,0.47234,0.00173,0.98174,0.89803,0.95483,0.6561,1.25262,0.43054,0.0025,0.0003962,0.0003962,0.0003962
164,1022.21,1.23018,0.4529,0.00172,0.98186,0.89803,0.9555,0.64983,1.25024,0.45171,0.00253,0.0003863,0.0003863,0.0003863
165,1028,1.25353,0.4904,0.00178,0.9821,0.89474,0.95619,0.65951,1.20941,0.43032,0.00245,0.0003764,0.0003764,0.0003764
166,1033.85,1.21343,0.49522,0.00175,0.98205,0.90007,0.94913,0.6672,1.20707,0.43086,0.00244,0.0003665,0.0003665,0.0003665
167,1039.67,1.19404,0.47705,0.0017,0.97856,0.90083,0.94881,0.67123,1.20122,0.42125,0.00243,0.0003566,0.0003566,0.0003566
168,1045.67,1.23255,0.46389,0.00174,0.97912,0.89474,0.94936,0.65885,1.25029,0.43439,0.00253,0.0003467,0.0003467,0.0003467
169,1051.52,1.16844,0.42738,0.00174,0.98091,0.89474,0.94938,0.6468,1.28314,0.42679,0.0026,0.0003368,0.0003368,0.0003368
170,1057.57,1.16694,0.43993,0.00167,0.98566,0.89803,0.95452,0.66493,1.194,0.42054,0.00241,0.0003269,0.0003269,0.0003269
171,1063.4,1.1692,0.45305,0.00171,0.9819,0.892,0.94828,0.65081,1.27544,0.42935,0.00258,0.000317,0.000317,0.000317
172,1069.22,1.20515,0.45199,0.00164,0.97708,0.89474,0.95235,0.64707,1.26859,0.44254,0.00255,0.0003071,0.0003071,0.0003071
173,1075,1.2251,0.50352,0.00179,0.98363,0.89803,0.95071,0.64529,1.26099,0.46339,0.00255,0.0002972,0.0002972,0.0002972
174,1080.78,1.23455,0.46355,0.00181,0.98146,0.89474,0.95258,0.64489,1.2797,0.44093,0.00259,0.0002873,0.0002873,0.0002873
175,1089.37,1.20169,0.45477,0.00168,0.97847,0.89706,0.95641,0.63211,1.30551,0.44149,0.00261,0.0002774,0.0002774,0.0002774
176,1095.19,1.22692,0.47549,0.00177,0.97846,0.89668,0.95037,0.64598,1.26631,0.42699,0.00255,0.0002675,0.0002675,0.0002675
177,1101,1.17832,0.45768,0.00164,0.98202,0.89834,0.95303,0.64127,1.31254,0.46645,0.00265,0.0002576,0.0002576,0.0002576
178,1106.8,1.22173,0.44754,0.0017,0.98243,0.89803,0.95631,0.66214,1.19776,0.43977,0.00242,0.0002477,0.0002477,0.0002477
179,1112.61,1.24902,0.47466,0.00184,0.98205,0.89992,0.95409,0.66755,1.2009,0.43782,0.00241,0.0002378,0.0002378,0.0002378
